digital,digitalisasi,digitalisation,digitalization,app,apps,apple,b2b,digital on-boarding,digital onboarding,digital on boarding,e-commerce,fintech,google,internet banking,marketplace,mobile,multi-channel,multi channel,omni-channel,omni channel,online,open banking,platform,play store,user experience,ux,video banking,video on-boarding,video onboarding,video on boarding,virtual banking,virtual assistant,analytic,analytics,artificial intelligence,ai,big data,data governance,data management,manajemen data,pengelolaan data,data pribadi,data processing,data protection,perlindungan data,kecerdasan buatan,machine learning,ml,pembelajaran mesin,pemelajaran mesin,personal data,predictive,investasi digital,investasi teknologi,investasi it,agile,automasi,automation,otomasi,otomatisasi,credit score,credit scoring,data scientist,digital culture,budaya digital,digital mindset,digital talent,talenta digital,efisiensi,efficiency,fraud,inovasi,innovation,scrum,robo,robot,robotic,api,application programming,programming interface,augmented reality,ar,authentication,biometric,blockchain,cardless,tanpa kartu,cloud,contactless,data science,digital signature,tanda tangan digital,distributed ledger,infrastruktur digital,digital infrastructure,internet of things,internet-of-things,iot,qr,qris,regulatory technology,regtech,teknologi,technology,virtual reality,vr,year,filename
239,479,0,0,2,3,1,1,0,0,0,0,17,2,14,2,39,0,1,0,1,70,0,47,0,0,1,0,0,0,0,0,0,1,26,5,0,28,1,6,3,7,2,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,1,13,0,0,8,1,0,0,0,8,1,53,7,104,50,16,0,0,0,0,18,0,0,0,1,3,0,0,0,1,1,0,3,2,0,0,1,0,0,0,1,1,0,0,0,268,10,0,0,2018,BBRI.pdf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,MASB.pdf
58,12,0,8,1,5,0,0,0,0,0,0,4,0,15,0,40,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,17,20,31,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,50,67,0,0,2018,BABP.pdf
4,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,28,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,2018,DNAR.pdf
184,14,0,0,4,1,1,2,0,0,0,0,7,1,17,0,36,0,1,0,0,37,0,15,0,1,0,0,0,0,0,0,0,2,4,0,0,3,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,13,0,2,1,9,0,5,0,1,1,0,0,0,29,0,81,28,8,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,192,20,0,0,2018,BBTN.pdf
9,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,13,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,87,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,4,0,0,2018,BKSW.pdf
74,1,0,1,3,0,0,0,0,0,0,0,0,0,16,0,23,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,68,70,0,0,2018,MAYA.pdf
6,0,0,0,2,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,10,77,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,39,0,0,2018,ARTO.pdf
22,0,0,0,0,0,0,0,0,0,0,0,16,0,20,0,28,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,3,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,19,21,127,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,177,0,0,2018,BCIC.pdf
89,18,11,17,0,2,0,0,0,0,0,0,5,0,11,2,73,0,0,0,0,45,1,13,0,0,0,0,0,0,0,0,0,20,18,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,19,13,112,17,6,16,0,0,0,3,2,2,0,2,0,0,1,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60,83,0,0,2018,NISP.pdf
182,24,0,1,1,8,0,2,0,0,0,0,0,2,20,0,68,0,6,0,0,29,0,16,0,0,0,4,0,0,0,0,6,5,3,0,2,1,0,4,0,2,2,0,0,0,0,6,0,0,0,0,2,0,1,0,2,0,2,10,0,0,0,1,0,0,0,0,0,1,0,101,32,19,1,0,0,0,15,8,6,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,218,16,0,0,2018,BBCA.pdf
126,14,0,0,2,1,0,0,0,0,0,0,10,0,6,2,20,0,0,0,3,49,0,22,1,0,0,0,0,0,0,0,0,1,16,1,4,7,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,0,5,9,8,0,0,1,0,0,0,0,0,29,0,52,12,3,0,0,0,3,17,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,8,0,0,2018,BDMN.pdf
93,8,0,0,4,0,0,0,0,0,0,0,1,1,3,0,18,0,0,0,1,4,0,29,0,0,0,0,0,0,0,0,0,2,12,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,60,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,51,9,0,0,2018,BTPN.pdf
34,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,12,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,45,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,62,0,0,2018,BBMD.pdf
147,12,0,0,0,0,0,0,0,0,0,0,17,0,12,1,22,0,0,0,1,50,0,5,0,1,0,0,0,0,0,0,0,1,13,1,2,17,0,4,2,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,13,0,0,5,1,0,5,0,0,0,1,0,0,38,6,102,31,9,0,0,0,1,13,1,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,497,56,0,0,2018,BMRI.pdf
31,3,0,3,7,6,0,0,0,0,0,0,7,0,25,0,26,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,4,0,0,24,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0,19,17,211,6,2,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,92,118,0,0,2018,BVIC.pdf
61,2,0,1,2,0,2,2,0,0,0,0,2,4,0,0,5,0,0,0,0,3,0,9,4,0,2,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,4,10,4,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,48,0,0,2018,AMAR.pdf
